name,calories,protein,carbohydrate,fat,vitaminc,ingredients
ปลานึ่งตระไคร้,434,81.2,12.7,7,2,"fish, lemon grass, celery, lemon, soy sauce, salt, garlic, chili"
ถั่วอับมอนด์อบ(ไม่ใส่เกลือ),190,7,7,15,8,"salt, almond"
น้ำพริกอ่องปลาทูน่า,324,48.9,20.5,5.5,38,"curry paste, oil, tuna, tomato, sugar, fish sauce, spring onion, coriander, cabbage, long bean"
เมล็ดมะม่วงหิมพานต์อบเกสรเกลือ,190,6,9,14,0,"cashew, salt"
น้ำพริกกะปิ,153,12.2,23.3,1.6,56.76,"garlic, chili, shrimp paste, sugar, fish sauce, lime, cabbage, long bean, "
ปลาทูทอด,312,49.8,0,12.5,0,"mackerel, oil"
ไข่ชะอม,456,18.8,1.1,41.3,0,"acacia, egg, fish sauce"
น้ำพริกปลาทูไข่ชะอม,921,80.8,24.4,55.4,56.76,"mackerel, chili, shallot, garlic, spring onion, coriander, lemon grass, cucumber, cabbage, eggplant, carrot, baby corn, lime, sugar, egg, acacia"
โจ๊กคัพ,120,2.5,25.9,0.3,0,"rice, salt, "
ข้าวเหนียวไก่ทอด,294,31.8,21.1,8,0,"chicken, oil, salt, soy sauce, pepper, sticky rice"
ผัดกระเพราลูกชิ้น,164,15.9,2.7,9.6,15.4,"rice, basil, meat ball, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
เกี๊ยวน้ำ,415,54.7,4.9,18.7,6.9,"water, pork, shrimp, sugar, coriander, garlic, ginger, dumplig, pepper, spring onion"
แกงเหลืองหน่อไม้ดอง,149,20.5,12.5,2,2,"fish, shoot, water, curry_paste, salt, fish, sugar, tamarind"
โบโลน่าพริก ซีพี,300,17,0,22,0,"chicken, chili, salt, sugar, herb"
ผักกาดผัดน้ำปลา,90,2.4,10.1,4.7,6.18,"lettuce, fish_sauce, garlic, oil"
แกงจืดฟักใส่ไก่,176,33.1,3.4,3.7,21,"gourd, pork, garlic, coriander_root, pepper, water, soy_sauce, salt, sugar, coriander"
ไก่ผัดขิง,180,32.6,5.4,3.3,4.8,"chicken, ginger, black_ear_mushroom, chili, garlic, oil, soy sauce, pepper, sugar, salt"
หมูทงคัตสึ,400,60,20,10,0,"pork, misu, all-purpose_flour, egg, breadcrumb, oil, cabbage, lemon, salt"
กุ้งผัดกะปิ,683,86.3,77.9,2.8,241.18,"shrimp, shallot, curry_paste, oil, oyster_sauce, sugar, chili"
ผัดซีอิ้วไก่,426,44,33.7,14.5,47,"wide_rice_noodle, chicken, eggs, sugar, peper, garlic, kale, oil, soy sauce,
oyster sauce, baking powder"
ผัดพริกแกงหมูกับหน่อไม้,41,3.9,7.9,0.5,10.57,"pork, long_bean, soy_sauce, oyster_sauce, red_curry_paste, sugar, kaffir_lime_leave, chili, oil, shoot"
ก๋วยเตี๋ยวไก่,603,55.2,58.2,18,29.375,"chicken, noodle, garlic, chili, lime, coriander, chili, spring_onion, water"
หมูผัดพริกแกง,539,63.3,9.2,26.7,32.4402,"pork, long_bean, soy_sauce, oyster_sauce, red_curry_paste, sugar, kaffir_lime_leave, chili, oil"
หมูผัดเผ็ด,359,46.5,3.7,16.5,11.729502,"curry_paste, oil, coconut_milk, fish sauce, sugar, pork, chili, krachai, pepper, kaffir_lime_leave"
